"","fraction","units","seg_id","interpreted_qualifiers","site_id","quantitation_limit","data_provider","sample_id","date","value","validator_qualifiers","depth","info_type","parameter"
"104","total","mg/l","1306-0068","","13-TINW-0.5",2,"AE","13-TINW-0.5_20190917",2019-09-17,126,"A",NA,NA,"alkalinity, total (as caco3)"
"105","total","mg/l","1306-0047","","13-GUNK_T35-0.2",2,"AE","13-GUNK_T35-0.2_20180711",2018-07-11,98.8,"A",NA,NA,"alkalinity, total (as caco3)"
"106","total","mg/l","1306-0047","","13-GUNK_T35-0.2",2,"AE","13-GUNK_T35-0.2_20180725",2018-07-25,34.4,"A",NA,NA,"alkalinity, total (as caco3)"
"107","total","mg/l","1306-0038","","13-WALK-26.9",2,"AE","13-WALK-26.9_20180724",2018-07-24,92.4,"A",NA,NA,"alkalinity, total (as caco3)"
"108","total","mg/l","1306-0038","","13-WALK-26.9",2,"AE","13-WALK-26.9_20180815",2018-08-15,81.2,"A",NA,NA,"alkalinity, total (as caco3)"
"109","total","mg/l","1306-0017","","13-WALK-60.1",2,"AE","13-WALK-60.1_20180724",2018-07-24,86.8,"A",NA,NA,"alkalinity, total (as caco3)"
"110","total","mg/l","1306-0025","","13-QKER-0.9",2,"AE","13-QKER-0.9_20180711",2018-07-11,173,"A",NA,NA,"alkalinity, total (as caco3)"
"111","total","mg/l","1306-0044","","13-PKIL-0.4",2,"AE","13-PKIL-0.4_20180710",2018-07-10,106,"A",NA,NA,"alkalinity, total (as caco3)"
"112","total","mg/l","1306-0042","","13-WKLEI-0.6",2,"AE","13-WKLEI-0.6_20180724",2018-07-24,59.2,"A",NA,NA,"alkalinity, total (as caco3)"
"113","total","mg/l","1306-0045","","13-WALK-19.0",2,"AE","13-WALK-19.0_20180906",2018-09-06,141,"A",NA,NA,"alkalinity, total (as caco3)"
"114","total","mg/l","1306-0045","","13-WALK-19.0",2,"AE","13-WALK-19.0_20190917",2019-09-17,145,"A",NA,NA,"alkalinity, total (as caco3)"
"115","total","mg/l","1306-0068","","13-TINW-0.5",2,"AE","13-TINW-0.5_20180815",2018-08-15,77.2,"A",NA,NA,"alkalinity, total (as caco3)"
"116","total","mg/l","1306-0062","","13-DWAR-2.0",2,"AE","13-DWAR-2.0_20191015",2019-10-15,135,"A",NA,NA,"alkalinity, total (as caco3)"
"117","total","mg/l","1306-0027","","13-WALK-9.8",2,"AE","13-WALK-9.8_20191015",2019-10-15,129,"A",NA,NA,"alkalinity, total (as caco3)"
"118","total","mg/l","1306-0044","","13-PKIL-0.4",2,"AE","13-PKIL-0.4_20181002",2018-10-02,74.8,"A",NA,NA,"alkalinity, total (as caco3)"
"119","total","mg/l","1306-0068","","13-TINW-0.5",2,"AE","13-TINW-0.5_20181002",2018-10-02,70,"A",NA,NA,"alkalinity, total (as caco3)"
"120","total","mg/l","1306-0047","","13-GUNK_T35-0.2",2,"AE","13-GUNK_T35-0.2_20180816",2018-08-16,56.8,"A",NA,NA,"alkalinity, total (as caco3)"
"121","total","mg/l","1306-0072","","13-MASO-0.2",2,"AE","13-MASO-0.2_20181004",2018-10-04,85.2,"A",NA,NA,"alkalinity, total (as caco3)"
"122","total","mg/l","1306-0006","","13-RUTG-1.5",2,"AE","13-RUTG-1.5_20191016",2019-10-16,130,"A",NA,NA,"alkalinity, total (as caco3)"
"123","total","mg/l","1306-0027","","13-WALK-2.1",2,"AE","13-WALK-2.1_20180905",2018-09-05,129,"A",NA,NA,"alkalinity, total (as caco3)"
"124","total","mg/l","1306-0027","","13-WALK-9.8",2,"AE","13-WALK-9.8_20190626",2019-06-26,100,"A",NA,NA,"alkalinity, total (as caco3)"
"125","total","mg/l","1306-0044","","13-PKIL-0.4",2,"AE","13-PKIL-0.4_20180724",2018-07-24,76.4,"A",NA,NA,"alkalinity, total (as caco3)"
"126","total","mg/l","1306-0044","","13-PKIL-0.4",2,"AE","13-PKIL-0.4_20180815",2018-08-15,86.8,"A",NA,NA,"alkalinity, total (as caco3)"
