"","parameter","fraction","units","class","class_type","trout_class","spatial_extent","sampling_period","sampling_period_units","type","use","water_type","standard_type","narrative","wqs_threshold","wqs_threshold_formula","wqs_threshold_x_column","wqs_threshold_y_column","statistic","min_n","block","direction","threshold","threshold_units","summarize_rows","summarize_rows_operator","wqs_75p_threshold_formula","wqs_75p_threshold"
"52","ammonia","total","ug/l","b","fresh","non_trout","great_lakes","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"53","ammonia","total","ug/l","a","fresh","non_trout","nys","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"54","ammonia","total","ug/l","a","fresh","non_trout","great_lakes","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"55","ammonia","total","ug/l","a-special","fresh","non_trout","nys","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"56","ammonia","total","ug/l","a-special","fresh","non_trout","great_lakes","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"57","ammonia","total","ug/l","aa","fresh","non_trout","nys","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"58","ammonia","total","ug/l","aa","fresh","non_trout","great_lakes","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"59","ammonia","total","ug/l","aa-special","fresh","non_trout","nys","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"60","ammonia","total","ug/l","aa-special","fresh","non_trout","great_lakes","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"61","ammonia","total","ug/l","c","fresh","non_trout","nys","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"62","ammonia","total","ug/l","c","fresh","non_trout","great_lakes","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"63","ammonia","total","ug/l","b","fresh","non_trout","nys","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"64","ammonia","total","ug/l","b","fresh","non_trout","great_lakes","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"65","ammonia","total","ug/l","a","fresh","non_trout","nys","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"66","ammonia","total","ug/l","a","fresh","non_trout","great_lakes","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"67","ammonia","total","ug/l","a-special","fresh","non_trout","nys","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"68","ammonia","total","ug/l","a-special","fresh","non_trout","great_lakes","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"69","ammonia","total","ug/l","aa","fresh","non_trout","nys","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"70","ammonia","total","ug/l","aa","fresh","non_trout","great_lakes","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"71","ammonia","total","ug/l","aa-special","fresh","non_trout","nys","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"72","ammonia","total","ug/l","aa-special","fresh","non_trout","great_lakes","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"73","ammonia","total","ug/l","c(t)","fresh","trout","nys","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"74","ammonia","total","ug/l","c(t)","fresh","trout","great_lakes","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"75","ammonia","total","ug/l","b(t)","fresh","trout","nys","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"76","ammonia","total","ug/l","b(t)","fresh","trout","great_lakes","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"77","ammonia","total","ug/l","a(t)","fresh","trout","nys","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"78","ammonia","total","ug/l","a(t)","fresh","trout","great_lakes","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"79","ammonia","total","ug/l","a-special(t)","fresh","trout","nys","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"80","ammonia","total","ug/l","a-special(t)","fresh","trout","great_lakes","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"81","ammonia","total","ug/l","aa(t)","fresh","trout","nys","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"82","ammonia","total","ug/l","aa(t)","fresh","trout","great_lakes","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"83","ammonia","total","ug/l","aa-special(t)","fresh","trout","nys","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"84","ammonia","total","ug/l","aa-special(t)","fresh","trout","great_lakes","january-december","months","aquatic_chronic","fishing","flow","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"85","ammonia","total","ug/l","c(t)","fresh","trout","nys","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"86","ammonia","total","ug/l","c(t)","fresh","trout","great_lakes","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"87","ammonia","total","ug/l","b(t)","fresh","trout","nys","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"88","ammonia","total","ug/l","b(t)","fresh","trout","great_lakes","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"89","ammonia","total","ug/l","a(t)","fresh","trout","nys","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"90","ammonia","total","ug/l","a(t)","fresh","trout","great_lakes","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"91","ammonia","total","ug/l","a-special(t)","fresh","trout","nys","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"92","ammonia","total","ug/l","a-special(t)","fresh","trout","great_lakes","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"93","ammonia","total","ug/l","aa(t)","fresh","trout","nys","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"94","ammonia","total","ug/l","aa(t)","fresh","trout","great_lakes","january-december","months","aquatic_chronic","fishing","pond","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
